Protein,GN,Species
A0A6Q8PHC0,AIFM1,Homo sapiens
K7ERS4,TMEM101,Homo sapiens
D6RD46,LIMCH1,Homo sapiens
H3BV56,BBS4,Homo sapiens
A0A6Q8PH04,PLCE1,Homo sapiens
A0A2R8YFT7,COL9A2,Homo sapiens
H0YIN6,CHMP4A,Homo sapiens
H0YK69,TMC3,Homo sapiens
A0A7P0TAQ0,CTSS,Homo sapiens
E7EW33,CYFIP2,Homo sapiens
C9JPM4,ARF4,Homo sapiens
K7EL95,QTRT1,Homo sapiens
H7C127,BRD8,Homo sapiens
D6RAB1,LEF1,Homo sapiens
H0Y4V9,LARP4B,Homo sapiens
K7EQT3,TUBB6,Homo sapiens
E9PIX1,CHI3L2,Homo sapiens
A0A087X249,PXMP2,Homo sapiens
H0YI52,DDX23,Homo sapiens
E9PNE0,PDE4DIP,Homo sapiens
A0A087X131,ITGAX,Homo sapiens
E5RHF1,SNX16,Homo sapiens
H7BZS7,MCEE,Homo sapiens
A0A7P0T885,HSP90B1,Homo sapiens
I3L1U9,ACTG1,Homo sapiens
F8VQR7,CSRP2,Homo sapiens
C9JSK0,UNC119,Homo sapiens
A0A5F9ZI03,MYO6,Homo sapiens
K7ENL6,FBF1,Homo sapiens
F8VQZ8,TMEM116,Homo sapiens
M0R307,COQ8B,Homo sapiens
H0Y9S7,ATP2C1,Homo sapiens
F8WBC2,INMT-MINDY4,Homo sapiens
A0A7I2SVS4,HDAC4,Homo sapiens
K7EP00,SSH2,Homo sapiens
F5H7J1,RASSF8,Homo sapiens
H7C3E2,ITSN2,Homo sapiens
H0YM96,MYO5C,Homo sapiens
H3BVD2,PML,Homo sapiens
M0R3D7,CAPN12,Homo sapiens
F5H5C8,RBMS2,Homo sapiens
H7C1E7,BCAS1,Homo sapiens
I3L1K6,MYL4,Homo sapiens
K7ERG3,TPM4,Homo sapiens
H0YJ20,LTBP2,Homo sapiens
I3L0M2,SGSH,Homo sapiens
A0A0C4DG60,MTHFD2L,Homo sapiens
A0A0U1RQR2,CIZ1,Homo sapiens
H0YMB6,IRF9,Homo sapiens
A0A2R8Y3S3,CTR9,Homo sapiens
D6REJ6,PACRGL,Homo sapiens
H0YJ48,SPATA7,Homo sapiens
M0R2N2,ZNF473,Homo sapiens
A0A087WZJ0,EXPH5,Homo sapiens
E5RG07,GLI4,Homo sapiens
C9JV60,ZNF485,Homo sapiens
F6R5I9,AMD1,Homo sapiens
A3KFI3,NBL1,Homo sapiens
I3L3R2,ACTG1,Homo sapiens
A0A087WUH5,SLC2A10,Homo sapiens
H0YD36,POLG,Homo sapiens
D6RJA1,LTC4S,Homo sapiens
C9JYJ2,MUSTN1,Homo sapiens
H3BRD4,ZNF106,Homo sapiens
A2A3Z5,LACC1,Homo sapiens
D6RJA7,MEF2C,Homo sapiens
E9PQZ1,EEF1D,Homo sapiens
G3V516,PPP4R4,Homo sapiens
E3W988,ADAM32,Homo sapiens
Q8WYH2,EFHD1,Homo sapiens
A0A0G2JPA4,MUC4,Homo sapiens
F5GWR7,PTPRD,Homo sapiens
D6RAD4,CDK7,Homo sapiens
B3KSB0,NCBP2,Homo sapiens
A0A2R8Y6Q1,TBCE,Homo sapiens
E9PRF1,GSDMD,Homo sapiens
Q6PJ65,TSPAN10,Homo sapiens
A0A0G2JMW3,CDHR5,Homo sapiens
Q9BTR4,REXO2,Homo sapiens
A0A3B3ITP3,KAT6B,Homo sapiens
G3V0G3,DDX56,Homo sapiens
F8VS26,MARS1,Homo sapiens
A0A0S2Z4K7,IVD,Homo sapiens
B7Z3U5,DCP2,Homo sapiens
B1ANB7,MCOLN3,Homo sapiens
A8MYV2,LUC7L,Homo sapiens
A2ABS3,LY6G6E,Homo sapiens
C9JL41,LUC7L3,Homo sapiens
K7ERF7,ERMARD,Homo sapiens
A0A0G2JNX1,HLA-G,Homo sapiens
B8ZZP4,SCRN1,Homo sapiens
A0A087X2B4,IFT20,Homo sapiens
G3V4K0,CNIH1,Homo sapiens
H7C1A2,TAMM41,Homo sapiens
B8ZZQ8,FAM221A,Homo sapiens
B1AMW1,CD58,Homo sapiens
A0A7I2V4D9,MACROH2A2,Homo sapiens
D2DJS5,VSTM1,Homo sapiens
E7ETN2,EYA2,Homo sapiens
M0R235,PSG1,Homo sapiens
A0A7P0TB72,OAS3,Homo sapiens
M0R2U2,FBL,Homo sapiens
A0A2R8YEK1,BCL11A,Homo sapiens
K7ELT0,RNF165,Homo sapiens
Q5T376,FRMD4A,Homo sapiens
B4DYV8,ROBO4,Homo sapiens
C9J3D4,ZNF660,Homo sapiens
H0YDH1,TMEM241,Homo sapiens
B4DL54,CHURC1-FNTB,Homo sapiens
B4DHI3,NLGN4Y,Homo sapiens
A0A0G2JMC9,LILRA2,Homo sapiens
C4P093,DISC1,Homo sapiens
H0YL66,TRIM69,Homo sapiens
F2Z2J0,SETD5,Homo sapiens
J3KRR0,LIMD2,Homo sapiens
H3BNF5,SLC7A6,Homo sapiens
E5RIX6,SERF1A,Homo sapiens
Q5T7C4,HMGB1,Homo sapiens
Q5BQ99,KLK13,Homo sapiens
A0A096LP92,ADSL,Homo sapiens
Q5URX0,HEXB,Homo sapiens
C9JZ61,ANKRD53,Homo sapiens
I3L236,GABARAP,Homo sapiens
H7C1C9,ARHGEF33,Homo sapiens
J3KS60,ARHGDIA,Homo sapiens
A0A0A0MSL1,DLG5,Homo sapiens
X6R368,FAAP24,Homo sapiens
Q8NG45,PGR,Homo sapiens
G3V1L7,MORN4,Homo sapiens
B6ZDE5,THADA,Homo sapiens
Q15244,PRPS1,Homo sapiens
A0A7I2V3Y8,PSEN2,Homo sapiens
B4DYU0,SHBG,Homo sapiens
B0QY95,MIEF1,Homo sapiens
I3L4N4,FGF11,Homo sapiens
B4E3T5,CASP10,Homo sapiens
H3BRQ6,GANC,Homo sapiens
B7Z8D3,PSME3,Homo sapiens
V9H0X6,CLEC11A,Homo sapiens
A0A2R8YFG2,NMNAT3,Homo sapiens
A0A1B0GU54,SMARCA2,Homo sapiens
B4DRC2,SCML2,Homo sapiens
B3KR61,NDUFAF5,Homo sapiens
E9PJ28,BBS1,Homo sapiens
F2Z2F0,HEMK1,Homo sapiens
I3L1G9,CORO7,Homo sapiens
Q5ST79,IER3,Homo sapiens
B4DRR6,ZNF566,Homo sapiens
A0A1B0GUE3,ASAH1,Homo sapiens
B4DXM2,EPHA6,Homo sapiens
B7WNT5,TCF7,Homo sapiens
H0YCI4,NAP1L4,Homo sapiens
U3KPU8,PGRMC2,Homo sapiens
E9PKT0,PGAP2,Homo sapiens
H3BNG6,SNAP23,Homo sapiens
A0A0C4DGA2,ECI2,Homo sapiens
A0A0G2JHC2,PPP1R18,Homo sapiens
O60597,IDS,Homo sapiens
K7EP57,SEPTIN12,Homo sapiens
A0A1W2PRA8,PAX6,Homo sapiens
A8K3Q5,IL17RC,Homo sapiens
Q7Z4H2,GPR182,Homo sapiens
B4DEU0,PITRM1,Homo sapiens
G5E9H5,SNX10,Homo sapiens
A0A087WUB7,NBPF3,Homo sapiens
E9PKJ4,FUZ,Homo sapiens
H0YMR7,FAM153B,Homo sapiens
I3L3U7,WDR81,Homo sapiens
A0A024R5G9,CTSF,Homo sapiens
H0YL61,DTWD1,Homo sapiens
A0A0G2JM58,CSNK2B,Homo sapiens
A0A0C4DGI4,PTCH1,Homo sapiens
A0A0C4DFP7,C1QTNF1,Homo sapiens
F8VZ12,FRS2,Homo sapiens
B7Z2T3,TTC26,Homo sapiens
H0YAG6,IFT122,Homo sapiens
E5RI37,ZNF879,Homo sapiens
A0A7I2V3D9,HSPA9,Homo sapiens
Q96DC6,DPH5,Homo sapiens
G5EA25,FAT3,Homo sapiens
H3BUH9,GCSH,Homo sapiens
A0A0C4DFT8,JADE2,Homo sapiens
A0A376A986,KIR2DS1,Homo sapiens
A0A7I2V3E9,HGS,Homo sapiens
C9JLV2,INO80D,Homo sapiens
H3BU71,KLRC4-KLRK1,Homo sapiens
F5GYZ4,NLRP2,Homo sapiens
H0YM36,MOK,Homo sapiens
B5MC74,EVA1C,Homo sapiens
E9PQP1,NDUFV1,Homo sapiens
A0A0G2JM20,KIR3DL3,Homo sapiens
A0A0G2JNU8,TTYH1,Homo sapiens
H0Y860,STIM2,Homo sapiens
G3V534,RIN3,Homo sapiens
H0YB87,DPYSL3,Homo sapiens
A0A0C4DGN9,IKZF3,Homo sapiens
A0A7P0TAT8,HSP90B1,Homo sapiens
H0YBB5,TULP2,Homo sapiens
J3QLS3,MRPS7,Homo sapiens
A0A7I2V3X3,GIGYF2,Homo sapiens
F5GXJ3,ZNF816,Homo sapiens
A0A494C087,PTPRZ1,Homo sapiens
C9JJ08,BBS9,Homo sapiens
J3QLH8,GAS7,Homo sapiens
A0A0C4DG81,CLEC2D,Homo sapiens
H3BU11,PDXDC1,Homo sapiens
H0YBS0,ANK1,Homo sapiens
E5RGG3,CARD8,Homo sapiens
F5H9F7,CFAP20DC,Homo sapiens
A8MXR1,SMYD3,Homo sapiens
B7ZBA4,ZC3H12D,Homo sapiens
E7EX47,CD36,Homo sapiens
C9JFI0,GAS2L1,Homo sapiens
E9PH36,F7,Homo sapiens
A0A0C4DFV1,RIMS1,Homo sapiens
A0A1W2PQV1,RBMS2,Homo sapiens
A0A7I2V336,GBF1,Homo sapiens
J3QLH2,RBBP8,Homo sapiens
E9PD69,HPGD,Homo sapiens
E9PM16,ZNF7,Homo sapiens
H7C5R5,EIF2A,Homo sapiens
E7ENN3,SYNE1,Homo sapiens
Q5T2Z0,PSRC1,Homo sapiens
S4R3B3,ZSWIM8,Homo sapiens
F5H6U5,OXGR1,Homo sapiens
A0A5F9ZI40,ANK2,Homo sapiens
H0Y8H0,DDX60L,Homo sapiens
E9PRP1,FRMD8,Homo sapiens
B9A070,HES6,Homo sapiens
A0A1B0GVU5,CACNB4,Homo sapiens
E9PQS7,TUT4,Homo sapiens
H7C2K7,SUSD5,Homo sapiens
A0A2R8Y4C5,SMARCA4,Homo sapiens
E9PKY3,GPR89A,Homo sapiens
H0YJ34,FERMT2,Homo sapiens
C9JYN0,SYPL1,Homo sapiens
E7EPT0,ZNF331,Homo sapiens
A0A7I2V594,NDUFA10,Homo sapiens
F8WF63,RBM6,Homo sapiens
F5H4J1,NUMA1,Homo sapiens
K7EJ76,ASXL3,Homo sapiens
A0A7P0T9V8,VPS53,Homo sapiens
A0A2R8YG57,ESPN,Homo sapiens
H0YE75,LTBP3,Homo sapiens
C9J0U3,ZNF385B,Homo sapiens
A0A2U3TZI0,TRIM8,Homo sapiens
C9JRM9,ZKSCAN1,Homo sapiens
J3KPM9,STAT1,Homo sapiens
A0A0J9YYJ1,PON2,Homo sapiens
H3BUJ2,FAM214A,Homo sapiens
H0Y5C4,MLLT10,Homo sapiens
A0A3B3IT56,SORBS1,Homo sapiens
Q5VU10,RPP30,Homo sapiens
W4VSQ5,LAIR1,Homo sapiens
Q5JYC2,NOL4L,Homo sapiens
M0QZ32,OCEL1,Homo sapiens
E9PJS8,ECHDC1,Homo sapiens
C9JTY8,VOPP1,Homo sapiens
M0QYM4,FCGRT,Homo sapiens
A0A2R8Y6Q5,PABIR3,Homo sapiens
A0A6I8PRP1,LARS1,Homo sapiens
C9JXB0,MKLN1,Homo sapiens
A0A0C4DGF5,CR1L,Homo sapiens
Q5SY20,ZBTB48,Homo sapiens
D6RAD2,RFC1,Homo sapiens
H0Y9E5,IFT122,Homo sapiens
A0A087WVD8,VWCE,Homo sapiens
E9PKP7,UBTF,Homo sapiens
A0A590UJD1,AMPD2,Homo sapiens
H0Y854,ATP11B,Homo sapiens
C9JP48,PPP1CB,Homo sapiens
G3V2G6,RDH11,Homo sapiens
E9PM09,CCT3,Homo sapiens
E5RFN2,CHCHD7,Homo sapiens
C9J115,FAM126B,Homo sapiens
J3QKK4,EPB41L3,Homo sapiens
H0YMG3,GMPR2,Homo sapiens
H7C0X6,IYD,Homo sapiens
C9JX59,VGLL4,Homo sapiens
H0YJC9,ASXL1,Homo sapiens
A0A7I2V4N7,GBF1,Homo sapiens
C9J3R0,RCC1,Homo sapiens
A0A1W2PQR3,GABRD,Homo sapiens
M0QYE5,STK11IP,Homo sapiens
S4R3D1,USP30,Homo sapiens
A0A7P0T896,PPIL2,Homo sapiens
H0YMW7,GCNT3,Homo sapiens
I3L3K4,KCTD13,Homo sapiens
V9GY35,C1orf109,Homo sapiens
S4R3N0,BTN3A2,Homo sapiens
D6RAF6,RCHY1,Homo sapiens
K7ENF2,GLOD4,Homo sapiens
X6RL83,CERCAM,Homo sapiens
D6RIC7,AMOTL2,Homo sapiens
F8VV69,MFSD5,Homo sapiens
A0A590UJC5,DLG1,Homo sapiens
E9PKM3,FOLH1,Homo sapiens
F8W8P2,MROH7,Homo sapiens
C9J6U3,DIAPH2,Homo sapiens
D6R9I9,ABCE1,Homo sapiens
J3KSP1,ABHD3,Homo sapiens
H0YCT6,ARHGEF4,Homo sapiens
H7C3T2,ATG2A,Homo sapiens
A0A0A0MRN7,KYAT3,Homo sapiens
E7ESB6,GIGYF2,Homo sapiens
M0R073,VRK3,Homo sapiens
G3V4R3,PPP4R3A,Homo sapiens
E7ENT5,SLC39A10,Homo sapiens
E9PJN8,MS4A8,Homo sapiens
G3V4N0,WARS1,Homo sapiens
M0R0X1,RAB4B,Homo sapiens
C9JGL4,GAL3ST1,Homo sapiens
H0Y8R5,RACK1,Homo sapiens
H3BRZ2,NEIL1,Homo sapiens
A0A1B0GU07,CACNB4,Homo sapiens
H7C2T6,CRIM1,Homo sapiens
U3KQ43,MED16,Homo sapiens
A0A075B784,USP36,Homo sapiens
A0A7P0T953,IFITM2,Homo sapiens
E9PH76,CCR2,Homo sapiens
H3BSQ0,EDC3,Homo sapiens
H7C234,DUSP28,Homo sapiens
C9JE51,LPP,Homo sapiens
C9J391,RNF181,Homo sapiens
H0YJP5,BAZ1A,Homo sapiens
B5MCP8,ZGLP1,Homo sapiens
A0A5H1ZRP1,RSKR,Homo sapiens
H0YEU9,XKR6,Homo sapiens
F5H0W7,NUP85,Homo sapiens
E9PG19,FCHSD2,Homo sapiens
H7C0H2,RBM33,Homo sapiens
D6RBW6,RAI14,Homo sapiens
E5RHP4,PPP2CA,Homo sapiens
E5RFR8,CHMP7,Homo sapiens
Q5JWS8,ASXL1,Homo sapiens
A0A1B0GUC1,MIER2,Homo sapiens
M0QYH6,PTOV1,Homo sapiens
H7BZC0,SLC22A5,Homo sapiens
E9PKV9,SIGLEC10,Homo sapiens
E7EMV7,TNIP1,Homo sapiens
A0A5F9ZGX1,TMEM145,Homo sapiens
C9JT62,HDLBP,Homo sapiens
M0R0Z8,ZNF320,Homo sapiens
A0A0A0MT47,MPHOSPH8,Homo sapiens
F6UZH7,,Homo sapiens
A0A075B7A0,RPL18,Homo sapiens
C9JLL5,SATB1,Homo sapiens
D6RBS5,ELMOD2,Homo sapiens
H3BQT1,GLG1,Homo sapiens
J3KQT6,SH2D5,Homo sapiens
H7BZ35,DARS1,Homo sapiens
V9GYV0,MAST3,Homo sapiens
A0A0D9SFX7,MECP2,Homo sapiens
A0A0G2JMH7,LILRB4,Homo sapiens
M0R1P0,ZNF530,Homo sapiens
F5H684,CYB561A3,Homo sapiens
A0A2R8Y754,CCNJL,Homo sapiens
H3BT38,ACSM3,Homo sapiens
F2Z3N3,OLFML2B,Homo sapiens
H0Y8U7,TBCK,Homo sapiens
A0A0A0MR81,BPTF,Homo sapiens
E9PH66,STAT1,Homo sapiens
B1AMT0,STAG2,Homo sapiens
B1AMV7,SFXN4,Homo sapiens
G3V451,SDR39U1,Homo sapiens
E9PRR3,LCN10,Homo sapiens
K7EMR0,STK11,Homo sapiens
A0A0D9SFG6,CYTH2,Homo sapiens
U3KQT4,FHL2,Homo sapiens
A0A2R8Y5C8,EPB41,Homo sapiens
A2A2I9,KCNG1,Homo sapiens
H0Y4Q8,TMEM254,Homo sapiens
A0A7I2S2S9,GNB4,Homo sapiens
K7EJ47,FLOT2,Homo sapiens
A0A7P0TA06,MTR,Homo sapiens
A0A7P0Z4B1,MTO1,Homo sapiens
H0Y532,SELENBP1,Homo sapiens
H7C3J2,CSNK1E,Homo sapiens
H7C5C8,CFAP91,Homo sapiens
A0A087WYU4,TVP23A,Homo sapiens
H3BNM2,DPP8,Homo sapiens
U3KQR8,ONECUT1,Homo sapiens
C9JPA5,ACSL6,Homo sapiens
H0YBG1,CPEB4,Homo sapiens
J3QLI7,LRRC37B,Homo sapiens
A0A2R8Y6V0,ASXL1,Homo sapiens
A0A0A0MRG3,ZNF138,Homo sapiens
I3L1A7,FLYWCH1,Homo sapiens
A0A1W2PP47,ELP4,Homo sapiens
I3L504,EIF5A,Homo sapiens
K7EPL3,SSC5D,Homo sapiens
F8W9Z1,CACNA1E,Homo sapiens
A0A0J9YXZ5,IQGAP1,Homo sapiens
F8W6E9,UPRT,Homo sapiens
K7EPK1,CARM1,Homo sapiens
H0Y9C8,FAT1,Homo sapiens
F8WEM1,RADIL,Homo sapiens
H0Y9V5,KDM3B,Homo sapiens
K7EJD6,RHBDF2,Homo sapiens
C9JG97,AAMP,Homo sapiens
B5MCA1,CFAP36,Homo sapiens
A0A087WYF1,LAMA2,Homo sapiens
E9PNV4,RELA,Homo sapiens
R4GMX6,FARS2,Homo sapiens
A0A7I2PRI8,DCN,Homo sapiens
E7ETZ4,BZW2,Homo sapiens
F8WBS6,PDIA3,Homo sapiens
C9J081,DDX3Y,Homo sapiens
A0A2R8YE93,TRIM66,Homo sapiens
F8WDY6,ALDH7A1,Homo sapiens
H7C1Q9,SEC61A2,Homo sapiens
H3BRP5,METTL9,Homo sapiens
H0YF58,ABCA7,Homo sapiens
I3L3D9,XAF1,Homo sapiens
A0A3B3ITT3,MGLL,Homo sapiens
D6RAQ9,TMEM150C,Homo sapiens
E9PHZ9,HBS1L,Homo sapiens
C9JE02,IAH1,Homo sapiens
E7EPW4,TNNT2,Homo sapiens
Q5T8D2,YME1L1,Homo sapiens
A0A7I2V662,GBF1,Homo sapiens
C9JK95,NTM,Homo sapiens
E5RKA2,LCP2,Homo sapiens
H3BST3,STOML1,Homo sapiens
A0A5F9ZGS6,SAMD8,Homo sapiens
A0A7I2V643,TBK1,Homo sapiens
M0R030,EMC10,Homo sapiens
F8WFD7,MCM5,Homo sapiens
F8WE17,DPP4,Homo sapiens
H3BV21,CDH13,Homo sapiens
F5H848,ZNF268,Homo sapiens
I3L1W8,SMG6,Homo sapiens
E5RHW0,SARAF,Homo sapiens
F8W7J0,IDNK,Homo sapiens
F8WAU7,SEC22A,Homo sapiens
E7EX50,SHANK2,Homo sapiens
F5GZV6,CES4A,Homo sapiens
V9GYP8,TMEM161A,Homo sapiens
I3L147,PRSS22,Homo sapiens
A0A087WUX2,BTBD2,Homo sapiens
F8WDJ4,CAMKV,Homo sapiens
A0A2R8Y4G4,OPA1,Homo sapiens
F8W184,CTDSP2,Homo sapiens
E2QRH1,NUTM2F,Homo sapiens
J3QKZ2,CTRB1,Homo sapiens
H3BS14,ADGRG1,Homo sapiens
C9JC46,ARMC3,Homo sapiens
E7ER68,FAM91A1,Homo sapiens
A0A0A0MSL3,UBE2V1,Homo sapiens
A0A087X1F0,BCORL1,Homo sapiens
F5GZF0,CDK2AP1,Homo sapiens
F8VZA4,DUSP6,Homo sapiens
H0YA05,PALLD,Homo sapiens
F8WAZ2,RINT1,Homo sapiens
A0A7I2YQD4,MTHFD2,Homo sapiens
J3QL58,LLGL2,Homo sapiens
I3L188,FLYWCH1,Homo sapiens
F8W775,NRCAM,Homo sapiens
H7BZW5,ATG4C,Homo sapiens
A0A087WWY5,CYFIP1,Homo sapiens
K7EQ13,G6PC3,Homo sapiens
K7ELT4,SLC16A2,Homo sapiens
E9PKH0,PTPRC,Homo sapiens
H7BYP9,MCF2L,Homo sapiens
H0YJC5,PPP2R3C,Homo sapiens
F8VP47,RPH3A,Homo sapiens
M0QXQ4,NUMBL,Homo sapiens
E5RIN7,RAD21,Homo sapiens
C9JHT2,KLC2,Homo sapiens
E9PSH0,CELF1,Homo sapiens
H0YNX0,ACSBG1,Homo sapiens
A0A590UK17,SBK1,Homo sapiens
E7EVV3,SPATA18,Homo sapiens
B8ZZF0,PPM1B,Homo sapiens
K7EPL6,,Homo sapiens
H0YK61,EMC4,Homo sapiens
D6RF31,ANK3,Homo sapiens
B7WNX0,KMT5B,Homo sapiens
H0Y8J0,PPID,Homo sapiens
E5RJ96,TMEM68,Homo sapiens
H7C0P3,NCOR2,Homo sapiens
A0A3F2YNX2,MSL3,Homo sapiens
J3QR35,CENPX,Homo sapiens
A0A096LP94,PCDHB5,Homo sapiens
B8ZZI4,CCDC150,Homo sapiens
A0A0D9SEQ4,PLAGL1,Homo sapiens
H0YDF6,NHSL1,Homo sapiens
H3BQB4,ATP6V0D1,Homo sapiens
A0A0D9SF38,EHMT1,Homo sapiens
A0A087WUI2,HNRNPA2B1,Homo sapiens
M0QZP5,CD22,Homo sapiens
E9PQ71,DHCR7,Homo sapiens
K7ELP9,KLC3,Homo sapiens
C9JNT3,GSTK1,Homo sapiens
H0Y8M5,IPO11,Homo sapiens
X6REP5,TMPRSS6,Homo sapiens
A0A087X0Z8,MAP2K5,Homo sapiens
F5GW90,NPIPB13,Homo sapiens
M0QZ20,CAPN12,Homo sapiens
H0YCI8,TM7SF2,Homo sapiens
H0YIB8,OAS1,Homo sapiens
E9PQ08,CSF1,Homo sapiens
A0A1W2PPT7,KCNMA1,Homo sapiens
H7C4M9,UBE2H,Homo sapiens
M0R0K5,ADGRE2,Homo sapiens
B8ZZA3,KYNU,Homo sapiens
K7EMM8,GLYR1,Homo sapiens
A0A2R8Y793,ACTB,Homo sapiens
E5RHW1,THAP8,Homo sapiens
Q5T0D5,WRAP73,Homo sapiens
F5H6L7,SLC8A2,Homo sapiens
C9JMT3,GRM7,Homo sapiens
D6RCB8,PHYKPL,Homo sapiens
E5RHH5,COPS5,Homo sapiens
C9JJ16,NR1H3,Homo sapiens
G3V5M7,PRPF39,Homo sapiens
C9J3R8,B4GALT4,Homo sapiens
A0A2R8Y5W0,COL4A5,Homo sapiens
B5MCB4,MECP2,Homo sapiens
F6V115,HLA-DPA1,Homo sapiens
C9JCK0,TBL1XR1,Homo sapiens
M0QYX3,IRF3,Homo sapiens
H3BV59,PDPR,Homo sapiens
A0A7I2V3S2,YKT6,Homo sapiens
Q5T9E3,MAN1A2,Homo sapiens
A0A6Q8PG01,MAK,Homo sapiens
J3QLR0,MYH2,Homo sapiens
I3L2X8,PITPNA,Homo sapiens
K7EKP8,ACOT7,Homo sapiens
A0A7P0Z4P6,SNAP47,Homo sapiens
H7C4N2,PLS3,Homo sapiens
K7EIZ0,EML2,Homo sapiens
J3KS19,SLC16A5,Homo sapiens
G8JLB6,HNRNPH1,Homo sapiens
D6RE02,MATR3,Homo sapiens
M0QZ37,FAM83E,Homo sapiens
F8WBL2,BYSL,Homo sapiens
E9PS32,SORL1,Homo sapiens
H7BZV9,ANKRD54,Homo sapiens
C9JQU9,UGP2,Homo sapiens
C9JEV4,TECPR1,Homo sapiens
A0A6Q8PFF5,LMNA,Homo sapiens
B1AHE3,ATXN10,Homo sapiens
E9PJW0,TMEM123,Homo sapiens
A0A7I2V627,GSK3A,Homo sapiens
E5RHE1,VDAC3,Homo sapiens
A0A087WYQ3,CPNE3,Homo sapiens
F5GXW1,DOCK4,Homo sapiens
J3QRM2,RARA,Homo sapiens
V9GZ11,SWI5,Homo sapiens
B9A018,USP39,Homo sapiens
H0Y3Y7,CFAP61,Homo sapiens
H3BVD1,SMAD3,Homo sapiens
E9PLB3,C11orf54,Homo sapiens
H3BMT2,ABHD2,Homo sapiens
A0A0J9YWK7,TRAPPC9,Homo sapiens
H0Y783,FARP1,Homo sapiens
E7EWC6,POLR2J3,Homo sapiens
K7EPF6,PGD,Homo sapiens
E5RGE7,TOP1MT,Homo sapiens
I3L4N3,TOM1L1,Homo sapiens
K7ERT0,ACSBG2,Homo sapiens
A0A1W2PQM4,KCNA1,Homo sapiens
D6RD86,GLRB,Homo sapiens
B1AP61,WASHC2A,Homo sapiens
C9JJ23,PFKFB4,Homo sapiens
A0A0J9YXE1,CNPY4,Homo sapiens
H7C4V7,BAP1,Homo sapiens
F8WDR1,WNT2,Homo sapiens
D6RAR0,PHYKPL,Homo sapiens
A0A0D9SEX5,ZDHHC6,Homo sapiens
I3L4H0,DUS2,Homo sapiens
E7ESE9,VCX3A,Homo sapiens
H0YBG9,HSF4,Homo sapiens
H0Y8L0,PHF3,Homo sapiens
A0A7I2V425,CSPP1,Homo sapiens
A0A0J9YVR6,PUF60,Homo sapiens
M0R2D7,DMRTC2,Homo sapiens
K7ELF3,TCF3,Homo sapiens
F8W8I7,KCTD10,Homo sapiens
C9J4R0,NR1H3,Homo sapiens
J3KQR7,CEP170B,Homo sapiens
C9JXG5,THOC5,Homo sapiens
E7EVQ3,ANGPT2,Homo sapiens
M0R2L7,ITPKC,Homo sapiens
C9JBH9,SMTN,Homo sapiens
X6RI56,TMEM63A,Homo sapiens
E9PRF5,BTBD18,Homo sapiens
H0YBN2,MATN2,Homo sapiens
S4R440,ZNF169,Homo sapiens
I3L193,IQCK,Homo sapiens
A0A7P0T8I9,VPS53,Homo sapiens
A0A1B0GX98,BNC2,Homo sapiens
F5H1D4,ANKLE2,Homo sapiens
G3V275,DAAM1,Homo sapiens
C9J8L0,CDCA7L,Homo sapiens
H0Y8U9,HK3,Homo sapiens
F8WCY1,TMEM44,Homo sapiens
V9GY95,MAP4K3,Homo sapiens
B0QYJ7,EWSR1,Homo sapiens
E9PIP7,RPS6KB2,Homo sapiens
C9JJ71,QTRT2,Homo sapiens
D6RBS2,MATR3,Homo sapiens
I3NI40,,Homo sapiens
G3V2I1,CKB,Homo sapiens
E9PSF2,STIL,Homo sapiens
H0Y6A1,NXF3,Homo sapiens
A8MZ31,MAP2,Homo sapiens
H0Y927,RAB28,Homo sapiens
A0A087X101,CPSF1,Homo sapiens
H0YNR9,HOMER2,Homo sapiens
H3BRI5,SNUPN,Homo sapiens
A0A7I2V4J3,DDX1,Homo sapiens
E9PRW8,MS4A3,Homo sapiens
D6RJ89,ACOX3,Homo sapiens
H7C1Q3,HHATL,Homo sapiens
F6S878,C2orf68,Homo sapiens
A0A7P0TBK4,SNAP47,Homo sapiens
D6RDV4,OPN5,Homo sapiens
A2IDC9,NME4,Homo sapiens
E5RFW6,EFCAB13,Homo sapiens
J3QLC8,RPL17,Homo sapiens
H3BU76,CORO1A,Homo sapiens
C9JLU8,DTX2,Homo sapiens
D6RC74,SDAD1,Homo sapiens
I3L1X7,ITFG1,Homo sapiens
A0A7P0TB03,IFITM1,Homo sapiens
F5GY07,STARD10,Homo sapiens
G3V2N7,RNF212B,Homo sapiens
C9JA99,PCDHA13,Homo sapiens
E9PRM7,SLC22A18,Homo sapiens
H7C0A1,OGG1,Homo sapiens
H3BQK5,KARS1,Homo sapiens
H0YB76,DOCK2,Homo sapiens
E9PK96,SYBU,Homo sapiens
A0A7P0TB71,DMD,Homo sapiens
A8MY32,POM121C,Homo sapiens
A0A7P0T8L3,NAMPT,Homo sapiens
J3KQU2,LRRC63,Homo sapiens
C9J1E7,AP1B1,Homo sapiens
C9IZ30,RNF182,Homo sapiens
A0A0G2JRP7,PROP1,Homo sapiens
E9PMH2,AIP,Homo sapiens
A0A5K1VW82,DMAC2L,Homo sapiens
I3L380,ABHD12,Homo sapiens
A0A087X0A5,SEMA6C,Homo sapiens
A0A1W2PP49,ELP4,Homo sapiens
K7EQA4,ARHGAP45,Homo sapiens
F8WD86,SLC5A9,Homo sapiens
G3V5F4,SLC25A29,Homo sapiens
A0A2R8YEH8,SLC29A1,Homo sapiens
