Protein,GN,Species
Q8NCS4,TMEM35B,Homo sapiens
Q8N661,TMEM86B,Homo sapiens
O43763,TLX2,Homo sapiens
Q9NPI0,TMEM138,Homo sapiens
Q8N616,LINC00311,Homo sapiens
Q6PF06,TRMT10B,Homo sapiens
Q8WUB8,PHF10,Homo sapiens
Q86T03,PIP4P1,Homo sapiens
Q86SH4,PRNT,Homo sapiens
P13727,PRG2,Homo sapiens
Q86WR7,PROSER2,Homo sapiens
P23942,PRPH2,Homo sapiens
Q9UBK2,PPARGC1A,Homo sapiens
P48634,PRRC2A,Homo sapiens
Q96QH2,PRAM1,Homo sapiens
Q5JSZ5,PRRC2B,Homo sapiens
Q96MI6,PPM1M,Homo sapiens
P48651,PTDSS1,Homo sapiens
P49810,PSEN2,Homo sapiens
P28827,PTPRM,Homo sapiens
P15151,PVR,Homo sapiens
Q92878,RAD50,Homo sapiens
P35243,RCVRN,Homo sapiens
Q9BWF3,RBM4,Homo sapiens
P61026,RAB10,Homo sapiens
Q4ADV7,RIC1,Homo sapiens
P40938,RFC3,Homo sapiens
Q8IUC4,RHPN2,Homo sapiens
Q9BRR9,ARHGAP9,Homo sapiens
Q9Y644,RFNG,Homo sapiens
P00797,REN,Homo sapiens
P48380,RFX3,Homo sapiens
Q5VT52,RPRD2,Homo sapiens
Q6ZR62,RTL4,Homo sapiens
L0R6Q1,SLC35A4,Homo sapiens
P0CK97,SLC35E2A,Homo sapiens
P06703,S100A6,Homo sapiens
Q9UHW9,SLC12A6,Homo sapiens
P09661,SNRPA1,Homo sapiens
Q9Y267,SLC22A14,Homo sapiens
Q8N4F4,SLC22A24,Homo sapiens
Q9Y3D9,MRPS23,Homo sapiens
Q9BZJ4,SLC25A39,Homo sapiens
Q13433,SLC39A6,Homo sapiens
Q9BYL1,SAMD10,Homo sapiens
P82675,MRPS5,Homo sapiens
Q96LT4,SAMD8,Homo sapiens
Q9BY50,SEC11C,Homo sapiens
Q9NQW1,SEC31B,Homo sapiens
Q9UN30,SCML1,Homo sapiens
Q15437,SEC23B,Homo sapiens
P50454,SERPINH1,Homo sapiens
Q93073,SECISBP2L,Homo sapiens
Q9NZV5,SELENON,Homo sapiens
O15127,SCAMP2,Homo sapiens
P0DME0,SETSIP,Homo sapiens
Q01105,SET,Homo sapiens
O75880,SCO1,Homo sapiens
A0A494C0Z2,SPDYE13,Homo sapiens
Q9HD40,SEPSECS,Homo sapiens
Q969T3,SNX21,Homo sapiens
O43290,SART1,Homo sapiens
Q53GS9,USP39,Homo sapiens
Q9UNH6,SNX7,Homo sapiens
Q92925,SMARCD2,Homo sapiens
Q5SXM2,SNAPC4,Homo sapiens
P0C7P3,SLFN14,Homo sapiens
Q9UJ37,ST6GALNAC2,Homo sapiens
Q86VZ5,SGMS1,Homo sapiens
Q13342,SP140,Homo sapiens
P48764,SLC9A3,Homo sapiens
Q9Y2E8,SLC9A8,Homo sapiens
O95470,SGPL1,Homo sapiens
Q08648,SPAG11B,Homo sapiens
O15266,SHOX,Homo sapiens
Q96HU1,SGSM3,Homo sapiens
Q9NUL5,SHFL,Homo sapiens
Q8N5H7,SH2D3C,Homo sapiens
Q96Q15,SMG1,Homo sapiens
K7EJ46,SMIM22,Homo sapiens
Q8N412,STPG2,Homo sapiens
Q96SB8,SMC6,Homo sapiens
Q9BRV3,SLC50A1,Homo sapiens
P49888,SULT1E1,Homo sapiens
O00338,SULT1C2,Homo sapiens
Q9ULZ2,STAP1,Homo sapiens
Q96FJ0,STAMBPL1,Homo sapiens
Q92537,SUSD6,Homo sapiens
P46977,STT3A,Homo sapiens
Q96DR4,STARD4,Homo sapiens
O95793,STAU1,Homo sapiens
O15400,STX7,Homo sapiens
P16949,STMN1,Homo sapiens
Q8IUH8,SPPL2C,Homo sapiens
Q96BD6,SPSB1,Homo sapiens
A7MD48,SRRM4,Homo sapiens
O94901,SUN1,Homo sapiens
Q9GZT4,SRR,Homo sapiens
Q16559,TAL2,Homo sapiens
Q8TBP0,TBC1D16,Homo sapiens
P19532,TFE3,Homo sapiens
Q9GZN2,TGIF2,Homo sapiens
Q8IYQ7,THNSL1,Homo sapiens
A6NMZ5,OR4C45,Homo sapiens
Q8NGJ6,OR51A4,Homo sapiens
Q8NH90,OR5AK2,Homo sapiens
Q8N2R0,OSR2,Homo sapiens
Q99983,OMD,Homo sapiens
Q9BVI0,PHF20,Homo sapiens
P27918,CFP,Homo sapiens
Q9NWT1,PAK1IP1,Homo sapiens
P50897,PPT1,Homo sapiens
O75400,PRPF40A,Homo sapiens
P78395,PRAME,Homo sapiens
P28070,PSMB4,Homo sapiens
Q8WY54,PPM1E,Homo sapiens
Q9Y520,PRRC2C,Homo sapiens
Q7Z4L9,PPP1R42,Homo sapiens
Q9NQW5,PRDM7,Homo sapiens
P26022,PTX3,Homo sapiens
Q3KNS1,PTCHD3,Homo sapiens
Q9UL46,PSME2,Homo sapiens
Q15008,PSMD6,Homo sapiens
Q96D15,RCN3,Homo sapiens
Q9H4I0,RAD21L1,Homo sapiens
Q8IY67,RAVER1,Homo sapiens
P18754,RCC1,Homo sapiens
Q15283,RASA2,Homo sapiens
Q9NS23,RASSF1,Homo sapiens
Q14644,RASA3,Homo sapiens
Q96JH8,RADIL,Homo sapiens
A4D1S5,RAB19,Homo sapiens
Q70E73,RAPH1,Homo sapiens
P51157,RAB28,Homo sapiens
Q96QF0,RAB3IP,Homo sapiens
O94762,RECQL5,Homo sapiens
Q15286,RAB35,Homo sapiens
P57735,RAB25,Homo sapiens
O75783,RHBDL1,Homo sapiens
Q7L804,RAB11FIP2,Homo sapiens
Q06141,REG3A,Homo sapiens
Q15493,RGN,Homo sapiens
Q8N392,ARHGAP18,Homo sapiens
Q8NC24,RELL2,Homo sapiens
Q96EH5,RPL39L,Homo sapiens
Q99729,HNRNPAB,Homo sapiens
Q8WVD3,RNF138,Homo sapiens
P34096,RNASE4,Homo sapiens
O60930,RNASEH1,Homo sapiens
Q96A37,RNF166,Homo sapiens
Q5VTB9,RNF220,Homo sapiens
P52434,POLR2H,Homo sapiens
P09001,MRPL3,Homo sapiens
Q7Z7H8,MRPL10,Homo sapiens
Q96E11,MRRF,Homo sapiens
Q9NQL2,RRAGD,Homo sapiens
Q9NS64,RPRM,Homo sapiens
P25398,RPS12,Homo sapiens
P08865,RPSA,Homo sapiens
Q9NQQ7,SLC35C2,Homo sapiens
Q8IWB4,SPATA31A7,Homo sapiens
O95197,RTN3,Homo sapiens
Q9BZD2,SLC29A3,Homo sapiens
Q8WXD2,SCG3,Homo sapiens
Q8N228,SCML4,Homo sapiens
Q9H4B6,SAV1,Homo sapiens
P48029,SLC6A8,Homo sapiens
P23975,SLC6A2,Homo sapiens
P63302,SELENOW,Homo sapiens
Q13275,SEMA3F,Homo sapiens
Q86VE9,SERINC5,Homo sapiens
Q13424,SNTA1,Homo sapiens
Q15005,SPCS2,Homo sapiens
O75934,BCAS2,Homo sapiens
Q8N0X7,SPART,Homo sapiens
Q6ZMC9,SIGLEC15,Homo sapiens
P0DPA3,SNHG28,Homo sapiens
O43166,SIPA1L1,Homo sapiens
Q9Y2K2,SIK3,Homo sapiens
Q3KNW5,SLC10A6,Homo sapiens
Q9H2Y9,SLCO5A1,Homo sapiens
Q8N4H0,SPATA6L,Homo sapiens
P0DP57,SLURP2,Homo sapiens
Q8N0Z3,SPICE1,Homo sapiens
Q6XE38,SCGB1D4,Homo sapiens
Q99962,SH3GL2,Homo sapiens
Q15465,SHH,Homo sapiens
A4D0T7,SMIM30,Homo sapiens
Q9NP50,SINHCAF,Homo sapiens
Q9Y3P8,SIT1,Homo sapiens
Q9UHP9,SMPX,Homo sapiens
P49458,SRP9,Homo sapiens
Q6ZVD7,STOX1,Homo sapiens
Q7RTT6,SSX6P,Homo sapiens
Q7RTT4,SSX8P,Homo sapiens
Q8NBB2,ST20-AS1,Homo sapiens
Q8TBX8,PIP4K2C,Homo sapiens
O14603,PRY,Homo sapiens
Q9Y244,POMP,Homo sapiens
Q96M27,PRRC1,Homo sapiens
Q6UWB4,PRSS55,Homo sapiens
A6NGN4,PRAMEF25,Homo sapiens
Q96NZ9,PRAP1,Homo sapiens
Q9BXM0,PRX,Homo sapiens
Q9H4Q4,PRDM12,Homo sapiens
Q96EY7,PTCD3,Homo sapiens
Q9NRF8,CTPS2,Homo sapiens
O95825,CRYZL1,Homo sapiens
Q5T6V5,C9orf64,Homo sapiens
Q8NBN7,RDH13,Homo sapiens
Q9BX46,RBM24,Homo sapiens
O14966,RAB29,Homo sapiens
Q8IZ40,RCOR2,Homo sapiens
P13631,RARG,Homo sapiens
Q9H6Z4,RANBP3,Homo sapiens
Q99969,RARRES2,Homo sapiens
B2RC85,RSPH10B2,Homo sapiens
Q9Y3L5,RAP2C,Homo sapiens
Q92963,RIT1,Homo sapiens
P84098,RPL19,Homo sapiens
P10301,RRAS,Homo sapiens
Q9HB90,RRAGC,Homo sapiens
Q8WXG1,RSAD2,Homo sapiens
P62851,RPS25,Homo sapiens
Q9Y3I0,RTCB,Homo sapiens
Q7RTT9,SLC29A4,Homo sapiens
Q9H1N7,SLC35B3,Homo sapiens
